Description,Latitude,Location,Longitude,Price,Title,Url,Information
"Oak,locust",35.362574,"Hendersonville, NC",-82.429226,100.0,Firewood 1/2 cord me sure Hendersonville area,https://us.letgo.com/en/i/Firewood-1-2-cord-me-sure-Hendersonville-area_a0e79d8b-f039-43f7-86ed-3c702b537f02,"Firewood 1/2 cord me sure Hendersonville area. $100.0. Oak,locust"
"Mr Beer Premium Gold Edition beer kit new in box, never opened or used. (See pictures for everything that is included) Great starter kit for people interested in home brewing or just a fun gift!",35.531933,"Asheville, NC",-82.51581440000002,20.0,Home Brew beer kit brand new,https://us.letgo.com/en/i/Home-Brew-beer-kit-brand-new-_4e61593e-150e-4a05-b9e9-205389a3ecb0,"Home Brew beer kit brand new. $20.0. Mr Beer Premium Gold Edition beer kit new in box, never opened or used. (See pictures for everything that is included) Great starter kit for people interested in home brewing or just a fun gift!"
Excellent shape! Brand New just the box is beat up from storage,35.4731561,"Waynesville, NC",-83.01465259999998,5.0,Cordless phone,https://us.letgo.com/en/i/Cordless-phone_2c8322a7-b54f-44ec-a5ef-1105bc2d0e49,Cordless phone. $5.0. Excellent shape! Brand New just the box is beat up from storage
Several items for the three stooges fan..the moe box might be beat up but the doll is in good condition,35.4731561,"Waynesville, NC",-83.01465259999998,30.0,Stooges collection,https://us.letgo.com/en/i/Stooges-collection_5e4d0f53-b8a2-47d3-a181-2edda8be4a90,Stooges collection. $30.0. Several items for the three stooges fan..the moe box might be beat up but the doll is in good condition
100x 200x 450x Vintage and never used. It's in great shape!,35.3441849,"Mills River, NC",-82.6234061,12.0,tasco Discovery Workshop 450 power microscope,https://us.letgo.com/en/i/tasco-Discovery-Workshop-450-power-microscope-_42fe7aa1-5620-43a0-baee-6807220ddec8,tasco Discovery Workshop 450 power microscope. $12.0. 100x 200x 450x Vintage and never used. It's in great shape!
Small block 360 904 transmission 373 gear runs great runs low 11’s in quarter mile on motor,35.888897,"Burnsville, NC",-82.345189,15000.0,Dodge - Dart - 1972,https://us.letgo.com/en/i/Dodge-Dart-1972_fb2fe840-be39-4339-9fb9-918b44f04551,Dodge - Dart - 1972. $15000.0. Small block 360 904 transmission 373 gear runs great runs low 11’s in quarter mile on motor
Brand new,35.5681511,"Candler, NC",-82.6466702,500.0,Diamond bracelet,https://us.letgo.com/en/i/Diamond-bracelet_99f32af4-799c-402d-abe0-a962d16677da,Diamond bracelet. $500.0. Brand new
"$25 each firm, 24 ct.",35.595181200000006,"Asheville, NC",-82.5483513,25.0,Crest Whitestrips,https://us.letgo.com/en/i/Crest-Whitestrips-_4f9adb24-19d3-4688-89a7-67a26ccebf67,"Crest Whitestrips. $25.0. $25 each firm, 24 ct."
Mid 50 s out door bar heavy Compartments in back stock your poolside. Pleasure On my back porch for 20 years,35.3423461,"Hendersonville, NC",-82.4304967,750.0,Outdoor bar with compartments in back 50 s,https://us.letgo.com/en/i/Outdoor-bar-with-compartments-in-back-50-s-_ec464212-1e40-422b-b8ad-a6bf1719c63b,Outdoor bar with compartments in back 50 s. $750.0. Mid 50 s out door bar heavy Compartments in back stock your poolside. Pleasure On my back porch for 20 years
New with sticker. Nice Valentine gift.,35.6063523,"Asheville, NC",-82.4972397,8.0,Mikasa Romantic Jewel Heart Shaped Crysral Dish,https://us.letgo.com/en/i/Mikasa-Romantic-Jewel-Heart-Shaped-Crysral-Dish_dc51b811-d1cc-444f-a60d-7087bb226000,Mikasa Romantic Jewel Heart Shaped Crysral Dish. $8.0. New with sticker. Nice Valentine gift.
"Brand new never used, excellent condition with original boxes included. Very Rare collectors items. Each glass has the game name on one side and a beautiful graphic on the other side. The games featured are: Street Fighter Mega man Resident Evil Lost Planet 2 Dead Rising 2 Dark Void Ghosts 'n Goblins Final Fight",35.531933,"Asheville, NC",-82.51581440000002,20.0,Shot glass set CAPCOM collectable,https://us.letgo.com/en/i/Shot-glass-set-CAPCOM-collectable_dc04a74f-808b-40b9-a8f7-b0f29e3aa11b,"Shot glass set CAPCOM collectable. $20.0. Brand new never used, excellent condition with original boxes included. Very Rare collectors items. Each glass has the game name on one side and a beautiful graphic on the other side. The games featured are: Street Fighter Mega man Resident Evil Lost Planet 2 Dead Rising 2 Dark Void Ghosts 'n Goblins Final Fight"
New JBL Link 2 comes with box and charger,35.5668971,"Asheville, NC",-82.5535824,140.0,JBL link 20,https://us.letgo.com/en/i/JBL-link-20-_45aeb117-a840-411a-be40-9f8489cc487c,JBL link 20. $140.0. New JBL Link 2 comes with box and charger
"Heavy duty, collapsible, wheels, have 5",35.614358408213,"Leicester, NC",-82.76945684463398,20.0,Two left! Clothing racks,https://us.letgo.com/en/i/Two-left-Clothing-racks_060da97d-32e9-4340-ab1d-2aa204a79142,"Two left! Clothing racks. $20.0. Heavy duty, collapsible, wheels, have 5"
Brand new. Excellent condition. Works great. Runs off of 3 AAA batteries. Limited run item. Original box included.,35.531933,"Asheville, NC",-82.51581440000002,20.0,LED FLASHLIGHT CAPCOM SPECIAL,https://us.letgo.com/en/i/LED-FLASHLIGHT-CAPCOM-SPECIAL_3051f6f4-f107-4cf2-a745-7415dc2ea7e8,LED FLASHLIGHT CAPCOM SPECIAL. $20.0. Brand new. Excellent condition. Works great. Runs off of 3 AAA batteries. Limited run item. Original box included.
Handmade crochet teddy bear. Sewn on eyes safe for babies.,35.44131786497,"Waynesville, NC",-82.98771013068401,25.0,Crochet teddy bear,https://us.letgo.com/en/i/Crochet-teddy-bear-_df3648a8-b4d1-4779-aa73-43a49f593c2b,Crochet teddy bear. $25.0. Handmade crochet teddy bear. Sewn on eyes safe for babies.
Used three times,35.3206305,"Mill Spring, NC",-82.14456729999998,3000.0,14 foot Jon boat,https://us.letgo.com/en/i/14-foot-Jon-boat_ec8a2483-7520-47c6-8976-b60427bc2529,14 foot Jon boat. $3000.0. Used three times
Handmade crochet rhinos. Removable clothes. Sewn on eyes. $5 each or $10 for 2.,35.44137388599401,"Waynesville, NC",-82.987673394776,10.0,Crochet rhinos.,https://us.letgo.com/en/i/Crochet-rhinos-_eadb658f-b2fc-4c8f-b3dc-1b51bdab0038,Crochet rhinos.. $10.0. Handmade crochet rhinos. Removable clothes. Sewn on eyes. $5 each or $10 for 2.
These are fun toys for small baby's. no buttons or sharp pieces.they have sewn on eyes that are safe for children. $10 each. $20 both,35.44137388599401,"Waynesville, NC",-82.987673394776,10.0,Crochet baby toys,https://us.letgo.com/en/i/Crochet-baby-toys_cc74629a-f63e-4a15-bc48-bf395af3079c,Crochet baby toys. $10.0. These are fun toys for small baby's. no buttons or sharp pieces.they have sewn on eyes that are safe for children. $10 each. $20 both
Kid headphones brand new.,35.5193,"Fairview, NC",-82.3697,10.0,Starwars,https://us.letgo.com/en/i/Starwars-_7d43b66c-454f-47ce-b06a-16eddf02cbef,Starwars. $10.0. Kid headphones brand new.
Handmade crochet. Acrylic yarn. Does have safety eyes.,35.447866260445,"Waynesville, NC",-83.052964399186,25.0,Handmade crochet bunny.,https://us.letgo.com/en/i/Handmade-crochet-bunny-_111dd6d1-7260-497d-a1db-7ade22f34f6d,Handmade crochet bunny.. $25.0. Handmade crochet. Acrylic yarn. Does have safety eyes.
Brand New blender. 6 cup plastic jar and dishwasher safe,35.5193,"Fairview, NC",-82.3697,15.0,Oster Blender,https://us.letgo.com/en/i/Oster-Blender_9e753367-8e31-47f9-9f5b-a7a499e69365,Oster Blender. $15.0. Brand New blender. 6 cup plastic jar and dishwasher safe
Handmade crochet. Multi colored tabby cat. Does have safety eyes. Made with 100% cotton yarn. Machine washable.,35.441203778643,"Waynesville, NC",-82.987843221131,25.0,Multi colored tabby cat,https://us.letgo.com/en/i/Multi-colored-tabby-cat-_a6928da2-de09-4014-b592-e7fb5383fa64,Multi colored tabby cat. $25.0. Handmade crochet. Multi colored tabby cat. Does have safety eyes. Made with 100% cotton yarn. Machine washable.
6 foot. Good cutting edge. Has adjuster so you can angle the blade.,35.253225,"Zirconia, NC",-82.413676,200.0,6ft scrape,https://us.letgo.com/en/i/6ft-scrape_9190df28-ccab-4b04-8233-c54dcef0075c,6ft scrape. $200.0. 6 foot. Good cutting edge. Has adjuster so you can angle the blade.
Sunflower girl. Handmade crochet. Does have safety eyes. Has skirt with bow sewn on back.,35.447815783404,"Waynesville, NC",-83.05226819996601,35.0,Sunflower girl doll,https://us.letgo.com/en/i/Sunflower-girl-doll_a37821d2-3c53-43a6-997b-2691a935b046,Sunflower girl doll. $35.0. Sunflower girl. Handmade crochet. Does have safety eyes. Has skirt with bow sewn on back.
Sunflower doll. Handmade crochet. Does have safety eyes. It is 26 inches head to toe.,35.443146548033,"Waynesville, NC",-82.987606800116,35.0,Sunflower doll,https://us.letgo.com/en/i/Sunflower-doll_8d93528e-d637-426d-887c-995aef8280fe,Sunflower doll. $35.0. Sunflower doll. Handmade crochet. Does have safety eyes. It is 26 inches head to toe.
Sunflower doll.handmade. Does have safety eyes.,35.441205329295,"Waynesville, NC",-82.987809944975,25.0,Sunflower doll,https://us.letgo.com/en/i/Sunflower-doll_8adf8d38-bd8b-45ea-86b5-8ffc34b75e9e,Sunflower doll. $25.0. Sunflower doll.handmade. Does have safety eyes.
Adorable crochet giraffe. Handmade. 100% kid safe. (No buttons and or sharp pieces).,35.441205329295,"Waynesville, NC",-82.987809944975,25.0,Crochet giraffe,https://us.letgo.com/en/i/Crochet-giraffe-_b7c8a295-12af-40ff-bc6b-bbba423e54e7,Crochet giraffe. $25.0. Adorable crochet giraffe. Handmade. 100% kid safe. (No buttons and or sharp pieces).
Retractable Cord / with box,35.285494,"Flat Rock, NC",-82.388322,12.0,Continental Electric Iron,https://us.letgo.com/en/i/Continental-Electric-Iron_330c949c-4d4c-4e35-8c27-fd10f1e244ce,Continental Electric Iron. $12.0. Retractable Cord / with box
Used just a few times/ excellent condition. Unreal on feet. Size 9.5 Womens USA / European Size Womens Size 7.,35.28511500000001,"Flat Rock, NC",-82.38846,50.0,$250.00 Womens Suede Mephisto,https://us.letgo.com/en/i/-250-00-Womens-Suede-Mephisto_553f7ce7-27d0-4a82-b1c9-b58965847a55,$250.00 Womens Suede Mephisto. $50.0. Used just a few times/ excellent condition. Unreal on feet. Size 9.5 Womens USA / European Size Womens Size 7.
Collectors Breyer Horses,35.291245,"Hendersonville, NC",-82.47369499999998,45.0,"Breyer Horses-Assorted, five in all",https://us.letgo.com/en/i/Breyer-Horses-Assorted-five-in-all_41be77c1-98e3-4b39-8d27-171fecb3daba,"Breyer Horses-Assorted, five in all. $45.0. Collectors Breyer Horses"
Beautiful. 925 sterling silver Amethyst earrings.,35.950892,"Burnsville, NC",-82.349549,30.0,.925 sterling silver Amethyst earrings,https://us.letgo.com/en/i/-925-sterling-silver-Amethyst-earrings_46ae6409-234e-4072-b614-7692625e3681,.925 sterling silver Amethyst earrings. $30.0. Beautiful. 925 sterling silver Amethyst earrings.
Assorted super hero masks and accessories. Voice changer and Captain America nerf shooter included!,35.291245,"Hendersonville, NC",-82.47369499999998,20.0,Hero Masks,https://us.letgo.com/en/i/Hero-Masks_69e9d342-4a54-49a7-b665-1a322b84fff7,Hero Masks. $20.0. Assorted super hero masks and accessories. Voice changer and Captain America nerf shooter included!
"Pretty Sapphire ring, 10 karat gold, size 7. Would make some girl extremely happy for Valentine's Day!",35.950892,"Burnsville, NC",-82.349549,50.0,10 karat gold sapphire ring size 7,https://us.letgo.com/en/i/10-karat-gold-sapphire-ring-size-7_556be20c-0d0b-41c7-87ba-547e50c80560,"10 karat gold sapphire ring size 7. $50.0. Pretty Sapphire ring, 10 karat gold, size 7. Would make some girl extremely happy for Valentine's Day!"
"Different belts they list is in order to the pics; Orange, multi-color snake print, woven black, knock off Ed Hardy, Sliver sparkles, Baby blue and pink sparkle cheetah print, black leather and velvet zebra stripes, Plain Black leather, Shiney slick black leather",35.5950581,"Asheville, NC",-82.5514869,0.0,Bundle of belts,https://us.letgo.com/en/i/Bundle-of-belts_c637029e-d48f-4d31-9d7e-810c70101a3a,"Bundle of belts. $0.0. Different belts they list is in order to the pics; Orange, multi-color snake print, woven black, knock off Ed Hardy, Sliver sparkles, Baby blue and pink sparkle cheetah print, black leather and velvet zebra stripes, Plain Black leather, Shiney slick black leather"
The materail has ridges in it so theyre thicker than normal thin leggings. They dont fit me and i bought them brand new.,35.5950581,"Asheville, NC",-82.5514869,3.0,Black leggings.,https://us.letgo.com/en/i/Black-leggings-_c21bbd1c-ed12-45f3-aa7f-224587df9dd4,Black leggings.. $3.0. The materail has ridges in it so theyre thicker than normal thin leggings. They dont fit me and i bought them brand new.
"Comes with four detachable paddock pieces, two feed bags, two bales of hay, a wheelbarrow, rake, hay rake amd shovel.",35.291245,"Hendersonville, NC",-82.47369499999998,15.0,American Girl Doll Horse Paddock and Accessories,https://us.letgo.com/en/i/American-Girl-Doll-Horse-Paddock-and-Accessories_6afbe40e-1966-4f45-ae16-bf957c0dce88,"American Girl Doll Horse Paddock and Accessories. $15.0. Comes with four detachable paddock pieces, two feed bags, two bales of hay, a wheelbarrow, rake, hay rake amd shovel."
"This is a 40 gal terrarium great for a desert/tropical reptile! It comes with a power strip with 8 outlets, 4 of which can be set on a built in timer. I have also included a water bowl, hammock, and light fixture hanger. There is also a thermometer attached to the inside of the terrarium that is included as well. There is a feeding door on the top to make feeding time easy! There is a dent on the top where I accidentally left the heat lamp on the metal turned on but it is purely cosmetic and not even that noticeable. I had a bearded dragon in this tank but he is now in a 50 gal so I no longer need the 40gal.",35.593723612870996,"Asheville, NC",-82.47328346602801,80.0,40 gal terrarium combo,https://us.letgo.com/en/i/40-gal-terrarium-combo_785739f9-d447-4bb4-9a7c-d0aa9b80f3ba,"40 gal terrarium combo. $80.0. This is a 40 gal terrarium great for a desert/tropical reptile! It comes with a power strip with 8 outlets, 4 of which can be set on a built in timer. I have also included a water bowl, hammock, and light fixture hanger. There is also a thermometer attached to the inside of the terrarium that is included as well. There is a feeding door on the top to make feeding time easy! There is a dent on the top where I accidentally left the heat lamp on the metal turned on but it is purely cosmetic and not even that noticeable. I had a bearded dragon in this tank but he is now in a 50 gal so I no longer need the 40gal."
Great condition,35.3504636,"Hendersonville, NC",-82.4161365,30.0,John deer pedal tractor,https://us.letgo.com/en/i/John-deer-pedal-tractor-_93df0959-384c-40be-a72d-cd90d1f5c2b9,John deer pedal tractor. $30.0. Great condition
Completely refinished solid oak wood coffee table a piece of art not just a table,35.55998839999999,"Candler, NC",-82.6535275,150.0,Vintage solid oak coffee table,https://us.letgo.com/en/i/Vintage-solid-oak-coffee-table-_e0f20aaa-6192-4f57-b24c-0388f30288fd,Vintage solid oak coffee table. $150.0. Completely refinished solid oak wood coffee table a piece of art not just a table
Homemade wood burning of dream catcher with famous james dean qoute,35.3504636,"Hendersonville, NC",-82.4161365,10.0,dream and live quote wooden board,https://us.letgo.com/en/i/dream-and-live-quote-wooden-board_2c8c5bec-897f-44ec-917c-62fbd678cefb,dream and live quote wooden board. $10.0. Homemade wood burning of dream catcher with famous james dean qoute
Homemade rose wood burning with color,35.3504636,"Hendersonville, NC",-82.4161365,10.0,"oval brown, white, black, green, and orange floral",https://us.letgo.com/en/i/oval-brown-white-black-green-and-orange-floral_5ca4cc0f-d6d4-42e6-a764-b0b53cf4a58d,"oval brown, white, black, green, and orange floral. $10.0. Homemade rose wood burning with color"
"Infiniti M37X 96,000 miles AWD Salvage title Cash only Serious buyers only Message me with more questions and for pictures Negotiable",35.5950581,"Asheville, NC",-82.5514869,10500.0,Infiniti - M - 2011,https://us.letgo.com/en/i/Infiniti-M-2011_ac15861b-1709-4d92-a855-b6b8719c94ba,"Infiniti - M - 2011. $10500.0. Infiniti M37X 96,000 miles AWD Salvage title Cash only Serious buyers only Message me with more questions and for pictures Negotiable"
"Homemade wood burning with glitter epoxy owl with woodburnt letters ""Owl always love you"" 1 of a kind handmade!",35.3504636,"Hendersonville, NC",-82.4161365,10.0,Wood burning with glitter epoxy owl,https://us.letgo.com/en/i/Wood-burning-with-glitter-epoxy-owl_8be41c71-ed25-4940-ace1-ccc12fd58919,"Wood burning with glitter epoxy owl. $10.0. Homemade wood burning with glitter epoxy owl with woodburnt letters ""Owl always love you"" 1 of a kind handmade!"
Make an offer,35.344571189391,"Hendersonville, NC",-82.438023375371,190.0,round silver Michael Kors chronograph watch with black strap,https://us.letgo.com/en/i/round-silver-Michael-Kors-chronograph-watch-with-black-strap_f30541d6-0fbd-4017-80f9-10e064f0bbb3,round silver Michael Kors chronograph watch with black strap. $190.0. Make an offer
455 big block Runs and drives great has ac and power steering $9500 or trade for 4x4,35.5525244,"Clyde, NC",-82.8767814,9500.0,Pontiac - LeMans - 1971,https://us.letgo.com/en/i/Pontiac-LeMans-1971_603ea772-5fff-4c45-8578-4efbc1a343f5,Pontiac - LeMans - 1971. $9500.0. 455 big block Runs and drives great has ac and power steering $9500 or trade for 4x4
Oral B pro 1000 crossaction eletric toothbrush,35.3464684,"Hendersonville, NC",-82.4403534,25.0,Oral B pro 1000,https://us.letgo.com/en/i/Oral-B-pro-1000_bb7f5aa3-9f53-4e9d-be37-a5fe98209ecb,Oral B pro 1000. $25.0. Oral B pro 1000 crossaction eletric toothbrush
"Here are a few records I'm parting with. $1 per record, price negotiable. List below. Beethoven: Symphony 6 Pastorale - Karajan NM Beethoven: Symphony 7 - London Symphony NM Schubert: Impromptus - Anievas VG+ Smokey Robinson 3x LP Anthology - VG Sibelius: Symphony 2 - Philadelphia Orchestra VG+ Earth Wind and Fire: Sprit NM Jo Stafford: Starring Jo Stafford - VG+ Everly Brothers: Both Sides of an Evening VG+ Leon Russell: And The Shelter People NM John McLaughlin: Shakti VG+ Charlie Parker: The Verve Years - 2 LP VG+ Los Indios Tabajaras: Always In My Heart VG Yma Sumac: Voice of the Xtabay - Set of 78s - Records are VG+, cover is G The Bible: Original Soundtrack - VG Mahler: Symphony 5 - VG+ London Symphony Gershwin: An American In Paris/Rhapsody in Blue - VG Vienna Symphony Smokey Robinson: Being With You - VG James Taylor: JT - VG 2 LP The Soul of Brazil Compilation - G Bartok: Music for Strings, Percussion and Celesta - G Living Stereo Reiner Chicago Ormandy Conducts Wagner Vol 2: Philadelphia Orchestra VG George Carlin: FM & AM - VG+ Carole King: Simple Things - VG",35.607670142675,"Asheville, NC",-82.546992267082,1.0,"Vinyl Records - Classical, Pop",https://us.letgo.com/en/i/Vinyl-Records-Classical-Pop_b8a9ace7-eca5-423f-8dc3-1798ca16e8cb,"Vinyl Records - Classical, Pop. $1.0. Here are a few records I'm parting with. $1 per record, price negotiable. List below. Beethoven: Symphony 6 Pastorale - Karajan NM Beethoven: Symphony 7 - London Symphony NM Schubert: Impromptus - Anievas VG+ Smokey Robinson 3x LP Anthology - VG Sibelius: Symphony 2 - Philadelphia Orchestra VG+ Earth Wind and Fire: Sprit NM Jo Stafford: Starring Jo Stafford - VG+ Everly Brothers: Both Sides of an Evening VG+ Leon Russell: And The Shelter People NM John McLaughlin: Shakti VG+ Charlie Parker: The Verve Years - 2 LP VG+ Los Indios Tabajaras: Always In My Heart VG Yma Sumac: Voice of the Xtabay - Set of 78s - Records are VG+, cover is G The Bible: Original Soundtrack - VG Mahler: Symphony 5 - VG+ London Symphony Gershwin: An American In Paris/Rhapsody in Blue - VG Vienna Symphony Smokey Robinson: Being With You - VG James Taylor: JT - VG 2 LP The Soul of Brazil Compilation - G Bartok: Music for Strings, Percussion and Celesta - G Living Stereo Reiner Chicago Ormandy Conducts Wagner Vol 2: Philadelphia Orchestra VG George Carlin: FM & AM - VG+ Carole King: Simple Things - VG"
Got it 4 months ago but had to move and am selling everything. Barely used and I'm great condition.,35.64570733815001,"Asheville, NC",-82.56773125388,350.0,Glass table with green chairs,https://us.letgo.com/en/i/Glass-table-with-green-chairs_109487d8-0933-46b1-b4df-2537210b9e1c,Glass table with green chairs. $350.0. Got it 4 months ago but had to move and am selling everything. Barely used and I'm great condition.
New Banjo Bros commuter backpack,35.5833044,"Asheville, NC",-82.555653,30.0,New Banjo Bros Commuter Backpack,https://us.letgo.com/en/i/New-Banjo-Bros-Commuter-Backpack_9de90e28-b639-4c5b-8833-9c18b9ad9b01,New Banjo Bros Commuter Backpack. $30.0. New Banjo Bros commuter backpack
"New Joe Blow Pro bicycle pump Original retail is 120$ Works great, No issues",35.5833044,"Asheville, NC",-82.555653,35.0,Bicycle pump,https://us.letgo.com/en/i/Bicycle-pump_d83b660a-beaa-484a-b060-322ae898c5c8,"Bicycle pump. $35.0. New Joe Blow Pro bicycle pump Original retail is 120$ Works great, No issues"
"These are a few of the tools im selling i have alot of other tools i didnt post if your looking for anything specific just ask, i might have it. I will sell the tools as a set or just individually.",35.5833044,"Asheville, NC",-82.555653,50.0,Assorted Park Bike Tools,https://us.letgo.com/en/i/Assorted-Park-Bike-Tools_02cc44d1-4462-4143-82a4-c61878004187,"Assorted Park Bike Tools. $50.0. These are a few of the tools im selling i have alot of other tools i didnt post if your looking for anything specific just ask, i might have it. I will sell the tools as a set or just individually."
Brand new still in package,35.5833044,"Asheville, NC",-82.555653,25.0,New 30 foot cable lock,https://us.letgo.com/en/i/New-30-foot-cable-lock_e9cc28ff-abb7-4a8b-adb9-c6f2fd638404,New 30 foot cable lock. $25.0. Brand new still in package
"Awesome boots! They don't fit me. water proof (leather), they are used but originally cost $150, still super nice looking, size 9b",35.8264981,"Mars Hill, NC",-82.54929990000002,50.0,Pair of brown-and-red leather cowgirl boots,https://us.letgo.com/en/i/Pair-of-brown-and-red-leather-cowgirl-boots_a77ae8a5-9182-4d40-b97e-26806b363f21,"Pair of brown-and-red leather cowgirl boots. $50.0. Awesome boots! They don't fit me. water proof (leather), they are used but originally cost $150, still super nice looking, size 9b"
SPOTLESS SANITIZED FULLSIZE MATTRESS SET. WE ACCEPT ALL MAJOR CREDIT CARDS AND OFFER DELIVERY FOR A FEE.,35.4661613,"Arden, NC",-82.51669820000002,79.0,SPOTLESS SANITIZED FULLSIZE MATTRESS SET,https://us.letgo.com/en/i/SPOTLESS-SANITIZED-FULLSIZE-MATTRESS-SET_b497d1f1-c5b1-44fe-a982-e754891279b1,SPOTLESS SANITIZED FULLSIZE MATTRESS SET. $79.0. SPOTLESS SANITIZED FULLSIZE MATTRESS SET. WE ACCEPT ALL MAJOR CREDIT CARDS AND OFFER DELIVERY FOR A FEE.
Ps4 Uncharted 4 A Theifs End,35.5360973,"Candler, NC",-82.6927363,30.0,Uncharted 4 PS4 game case,https://us.letgo.com/en/i/Uncharted-4-PS4-game-case_b8c3d0c6-6d75-4045-aeff-f39c3099b86f,Uncharted 4 PS4 game case. $30.0. Ps4 Uncharted 4 A Theifs End
All brand new - Osprey - Flap Jill Courier bag and Veer Shoulder bags.,35.620582011706,"Black Mountain, NC",-82.322301923117,45.0,Osprey computer courier bag + 2 Osprey Veer shoulder bags,https://us.letgo.com/en/i/Osprey-computer-courier-bag-2-Osprey-Veer-shoulder-bags_8f13e2b8-890f-4af5-b9b8-4890a20c0645,Osprey computer courier bag + 2 Osprey Veer shoulder bags. $45.0. All brand new - Osprey - Flap Jill Courier bag and Veer Shoulder bags.
3 like new owl kitchen containers,35.6513,"Leicester, NC",-82.7659,60.0,six assorted-color ceramic jars,https://us.letgo.com/en/i/six-assorted-color-ceramic-jars_7f64ac36-3dbf-4057-816c-0d990027ecce,six assorted-color ceramic jars. $60.0. 3 like new owl kitchen containers
Blitzed collage math book,35.6513,"Leicester, NC",-82.7659,20.0,assorted-color papers collage,https://us.letgo.com/en/i/assorted-color-papers-collage_9946373a-f633-4b4c-ac25-782c8c72c40a,assorted-color papers collage. $20.0. Blitzed collage math book
100 or best offer 150 with the blue Shelf and what Shelf and all the movies VCR player,35.2788129,"East Flat Rock, NC",-82.41568290000002,100.0,Vhs comes with VCR player,https://us.letgo.com/en/i/Vhs-comes-with-VCR-player_c3960ad0-718d-455f-8414-d56f0a530122,Vhs comes with VCR player. $100.0. 100 or best offer 150 with the blue Shelf and what Shelf and all the movies VCR player
Two trays of beads for $30 or 1 tray for $20. I’m not sure of the material that the beads are made of.,35.58164082997,"Asheville, NC",-82.64629605001299,30.0,Hand Painted Beads,https://us.letgo.com/en/i/Hand-Painted-Beads_e84f8122-8024-4a50-b48b-3c018926c3c6,Hand Painted Beads. $30.0. Two trays of beads for $30 or 1 tray for $20. I’m not sure of the material that the beads are made of.
Like new,35.545756747048,"Asheville, NC",-82.627329602915,40.0,"Vera Bradley bags - small crossbody, hipster and wallet",https://us.letgo.com/en/i/Vera-Bradley-bags-small-crossbody-hipster-and-wallet_e6ed06e9-dfbc-40db-9663-ca1c1d077ba3,"Vera Bradley bags - small crossbody, hipster and wallet. $40.0. Like new"
08 f250 with a 6.4 diesel 291000 miles has a lift gate 2 wheel drive,35.459001,"Arden, NC",-82.5298292,6000.0,Ford - F-250 - 2008,https://us.letgo.com/en/i/Ford-F-250-2008_40c76935-63ac-4ef5-9c69-53dd90edc00a,Ford - F-250 - 2008. $6000.0. 08 f250 with a 6.4 diesel 291000 miles has a lift gate 2 wheel drive
"Bonavita Peyton Crib is 58 long x 31.6 depth x 48 high Bonavita Peyton changing table is 49 long x 19 depth x 31 high The changing table dresser has rosebud knobs, which were added after purchased to give a feminine look. The surround on the changing table is removable (bolted with screws for safety). The crib comes with the mattress, waterproof mattress cover, and linens. (All excellent) Thank you for your consideration!",35.4589,"Arden, NC",-82.6035,300.0,Bonavita crib/changing table dresser set,https://us.letgo.com/en/i/Bonavita-crib-changing-table-dresser-set_d0f374a1-8109-4223-94ce-c5e9a8d597f4,"Bonavita crib/changing table dresser set. $300.0. Bonavita Peyton Crib is 58 long x 31.6 depth x 48 high Bonavita Peyton changing table is 49 long x 19 depth x 31 high The changing table dresser has rosebud knobs, which were added after purchased to give a feminine look. The surround on the changing table is removable (bolted with screws for safety). The crib comes with the mattress, waterproof mattress cover, and linens. (All excellent) Thank you for your consideration!"
"Everything you need to color your hair! 5A,6A, 6N, 7A, two 8A,three 8 n, 9A,10A, 12A, two 12AA, 12N, 64 oz 20vol, 1-32 oz 20 vol, 2 1/2-32oz 30 vol, 4oz 20 vol, 1/2lb +/- quick white. Over $125 retail value. New, never opened (except quick white & 1 32oz vol)",35.5950581,"Asheville, NC",-82.5514869,50.0,Several Hair Color bottles & Supplies,https://us.letgo.com/en/i/Several-Hair-Color-bottles-Supplies_04c9f051-8240-4c44-a2f1-f94612bb9be4,"Several Hair Color bottles & Supplies. $50.0. Everything you need to color your hair! 5A,6A, 6N, 7A, two 8A,three 8 n, 9A,10A, 12A, two 12AA, 12N, 64 oz 20vol, 1-32 oz 20 vol, 2 1/2-32oz 30 vol, 4oz 20 vol, 1/2lb +/- quick white. Over $125 retail value. New, never opened (except quick white & 1 32oz vol)"
Men's size 10 These shoes have only been worn a few times and are in like-new condition. Kid's feet grew way too fast. Tread and inside in great condition. $40 OBO,35.330058189986,"Hendersonville, NC",-82.50980455995901,15.0,"Under Armour ClutchFit, Men’s Size 10",https://us.letgo.com/en/i/Under-Armour-ClutchFit-Men-s-Size-10_6799ef47-31e1-49b0-b3a0-8a421074ce89,"Under Armour ClutchFit, Men’s Size 10. $15.0. Men's size 10 These shoes have only been worn a few times and are in like-new condition. Kid's feet grew way too fast. Tread and inside in great condition. $40 OBO"
Never been used I take offers,35.595290232483,"Asheville, NC",-82.61001711719,40.0,Bella stone pizza oven,https://us.letgo.com/en/i/Bella-stone-pizza-oven_9b70a0a7-3efb-4ba2-9822-37319572cd70,Bella stone pizza oven. $40.0. Never been used I take offers
